THIS	THIS	d	THIS	this	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
your	your	po22	your	your	0
vndaunted	vndaunted	j	undaunted	undaunted	0
courage	courage	n1	courage	courage	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
such	such	d	such	such	0
that	that	cst	that	that	0
(	(	(	(	(	0
absit	absit	fw-la	absit	absit	0
verbo	verbo	fw-la	verbo	verbo	0
inuidia	inuidia	fw-la	inuidia	inuidia	0
)	)	)	)	)	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
valiant	valiant	j	valiant	valiant	0
souldiers	souldiers	n2	soldiers	soldier	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
Church	Church	n1	Church	church	0
militant	militant	j	militant	militant	0
:	:	:	:	:	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
pla	pla	zz	pla	pla	0
∣	∣	sy	∣	∣	0
ced	ced	vvn	ced	ce	0
you	you	pn22	you	you	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
wood	wood	n1	wood	wood	0
of	of	pp-f	of	of	0
Pikes	Pikes	n2	Pikes	pike	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
shower	shower	n1	shower	shower	0
of	of	pp-f	of	of	0
Bullets	Bullets	n2	Bullets	bullet	0
and	and	cc	and	and	0
Pellets	Pellets	n2	Pellets	pellet	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
furious	furious	j	furious	furious	0
assault	assault	n1	assault	assault	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
common	common	j	common	common	0
enemie	enemie	n1	enemy	enemy	0
giueth	giueth	vvz	gives	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
Armie	Armie	n1	Army	army	0
,	,	,	,	,	0
and	and	cc	and	and	0
Church	Church	n1	Church	church	0
militant	militant	j	militant	militant	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
4.	4.	crd	4.	4.	1
For	For	p-acp	For	for	0
whereas	whereas	cs	whereas	whereas	0
Christians	Christians	np1	Christians	Christians	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
Turks	Turks	n2	Turks	turk	0
,	,	,	,	,	0
can	can	vmb	can	can	0
buy	buy	vvi	buy	buy	0
their	their	po32	their	their	0
libertie	libertie	n1	liberty	liberty	0
of	of	pp-f	of	of	0
Conscience	Conscience	n1	Conscience	conscience	0
for	for	p-acp	for	for	0
money	money	n1	money	money	0
,	,	,	,	,	0
you	you	pn22	you	you	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
tribute	tribute	n1	tribute	tribute	0
can	can	vmb	can	can	0
purchase	purchase	vvi	purchase	purchase	0
such	such	d	such	such	0
a	a	dt	a	a	0
fauour	fauour	n1	favour	favour	0
.	.	.	.	.	1
And	And	cc	And	and	0
whereas	whereas	cs	whereas	whereas	0
in	in	p-acp	in	in	0
Holland	Holland	n1	Holland	holland	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
the	the	dt	the	the	0
Magistrate	Magistrate	n1	Magistrate	magistrate	0
layeth	layeth	vvz	layeth	lay	0
handes	handes	n2	hands	hand	0
on	on	p-acp	on	on	0
Priests	Priests	n2	Priests	priest	0
and	and	cc	and	and	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
,	,	,	,	,	0
only	only	av-j	only	only	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
fin	fin	fw-fr	fin	fin	0
∣	∣	sy	∣	∣	0
deth	deth	n1	death	death	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
Masse	Masse	n1	Mass	mass	0
,	,	,	,	,	0
or	or	cc	or	or	0
diuine	diuine	j-jn	divine	divine	0
seruice	seruice	n1	service	service	0
;	;	;	;	;	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
sear	sear	vvi	sear	sear	0
∣	∣	sy	∣	∣	0
ched	ched	pns31|vmb	ched	she|will	0
for	for	c-acp	for	for	0
more	more	av-dc	more	more	0
diligently	diligently	av-j	diligently	diligent	0
then	then	cs	then	than	0
theeues	theeues	n2	thieves	thief	0
,	,	,	,	,	0
murderers	murderers	n2	murderers	murderer	0
,	,	,	,	,	0
and	and	cc	and	and	0
publike	publike	j	public	public	0
harlots	harlots	n2	harlots	harlot	0
,	,	,	,	,	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
apprehended	apprehended	vvn	apprehended	apprehend	0
,	,	,	,	,	0
euen	euen	av	even	even	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
streetes	streetes	n2	streets	street	0
and	and	cc	and	and	0
fieldes	fieldes	n2	fields	field	0
.	.	.	.	.	1
And	And	cc	And	and	0
although	although	cs	although	although	0
in	in	p-acp	in	in	0
Fraunce	Fraunce	np1	Fraunce	France	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Low	Low	j	Low	low	0
Countries	Countries	n2	Countries	country	0
,	,	,	,	,	0
Catholikes	Catholikes	njp2	Catholics	catholic	0
haue	haue	vhb	have	have	0
heretofore	heretofore	av	heretofore	heretofore	0
endured	endured	vvn	endured	endure	0
intollerable	intollerable	j	intolerable	intolerable	0
pillages	pillages	n2	pillages	pillage	0
,	,	,	,	,	0
cruell	cruell	j	cruel	cruel	0
deathes	deathes	n2	deaths	death	0
and	and	cc	and	and	0
tor	tor	c-acp	tor	for	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
that	that	d	that	that	0
furie	furie	n1	fury	fury	0
lasted	lasted	vvd	lasted	last	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
while	while	n1	while	while	0
,	,	,	,	,	0
whilest	whilest	cs	whilst	while	0
the	the	dt	the	the	0
furie	furie	n1	fury	fury	0
of	of	pp-f	of	of	0
heresie	heresie	n1	heresy	heresy	0
raged	raged	vvn	raged	rage	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
hoate	hoate	j	hot	hot	0
beginning	beginning	n1	beginning	beginning	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
like	like	j	like	like	0
furie	furie	n1	fury	fury	0
hath	hath	vhz	hath	have	0
long	long	av-j	long	long	0
continued	continued	vvn	continued	continue	0
.	.	.	.	.	1
That	That	cst	That	that	0
cruelty	cruelty	n1	cruelty	cruelty	0
was	was	vbds	was	be	0
practised	practised	vvn	practised	practise	0
onely	onely	av-j	only	only	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
tumult	tumult	n1	tumult	tumult	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
like	like	j	like	like	0
sharpnes	sharpnes	n1	sharpness	sharpness	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
vsed	vsed	vvn	used	use	0
,	,	,	,	,	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
colour	colour	n1	colour	colour	0
of	of	pp-f	of	of	0
law	law	n1	law	law	0
,	,	,	,	,	0
&	&	cc	&	and	0
shew	shew	n1	show	show	0
of	of	pp-f	of	of	0
iustice	iustice	n1	justice	justice	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
no	no	dx	no	no	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
no	no	dx	no	no	0
people	people	n1	people	people	0
Christian	Christian	np1	Christian	Christian	0
endureth	endureth	vvz	endureth	endure	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
day	day	n1	day	day	0
for	for	p-acp	for	for	0
Christ	Christ	np1	Christ	Christ	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
and	and	cc	and	and	0
her	her	po31	her	her	0
Pastours	Pastours	ng1	Pastors	pastors	0
authoritie	authoritie	n1	authority	authority	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
dured	dured	vvd	dured	dure	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
many	many	d	many	many	0
yeares	yeares	n2	years	year	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
interruption	interruption	n1	interruption	interruption	0
.	.	.	.	.	1
And	And	cc	And	and	0
whereas	whereas	cs	whereas	whereas	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
raging	raging	j-vvg	raging	rage	0
the	the	dt	the	the	0
Tempest	Tempest	n1	Tempest	tempest	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
soo	soo	av	so	so	0
∣	∣	sy	∣	∣	0
ner	ner	zz	ner	ner	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
appeased	appeased	vvn	appeased	appease	0
:	:	:	:	:	0
&	&	cc	&	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
furious	furious	j	furious	furious	0
&	&	cc	&	and	0
bloudie	bloudie	j	bloody	bloody	0
the	the	dt	the	the	0
battaile	battaile	n1	battle	battle	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
sooner	sooner	av-c	sooner	soon	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
ended	ended	vvn	ended	end	0
:	:	:	:	:	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
this	this	d	this	this	0
long	long	j	long	long	0
ti	ti	fw-mi	ti	ti	0
∣	∣	sy	∣	∣	0
me	me	pno11	me	i	0
suffered	suffered	vvd	suffered	suffer	0
a	a	dt	a	a	0
violent	violent	j	violent	violent	0
and	and	cc	and	and	0
furious	furious	j	furious	furious	0
persecution	persecution	n1	persecution	persecution	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
no	no	dx	no	no	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
furie	furie	n1	fury	fury	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
no	no	dx	no	no	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
ende	ende	n1	end	end	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
humane	humane	j	humane	humane	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
oulde	oulde	j	old	old	0
statutes	statutes	n2	statutes	statute	0
being	being	vbg	being	be	0
still	still	av	still	still	0
renewed	renewed	vvn	renewed	renew	0
,	,	,	,	,	0
new	new	j	new	new	0
enacted	enacted	vvn	enacted	enact	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
placed	placed	vvn	placed	place	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
Christs	Christs	npg1	Christs	Christ	0
Armie	Armie	n1	Army	army	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
exposed	exposed	vvn	exposed	expose	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
furie	furie	n1	fury	fury	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Enemie	Enemie	n1	Enemy	enemy	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
set	set	vvn	set	set	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Butt	Butt	n1	Butt	butt	0
or	or	cc	or	or	0
marke	marke	n1	mark	mark	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
are	are	vbr	are	be	0
permitted	permitted	vvn	permitted	permit	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
all	all	d	all	all	0
their	their	po32	their	their	0
Artillarie	Artillarie	n1	Artillery	artillery	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
emptie	emptie	j	empty	empty	0
the	the	dt	the	the	0
quiuers	quiuers	n2	quivers	quiver	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
pearsing	pearsing	n-vvg	piercing	pierce	0
arrowes	arrowes	n2	arrows	arrow	0
of	of	pp-f	of	of	0
afflictions	afflictions	n2	afflictions	affliction	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
:	:	:	:	:	0
and	and	cc	and	and	0
fo	fo	zz	fo	fo	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
as	as	p-acp	as	as	0
IOB	IOB	np1	IOB	Job	0
did	did	vdd	did	do	0
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	1
16.	16.	crd	16.	16.	0
)	)	)	)	)	1
Posuit	Posuit	n1	Posuit	posuit	0
me	me	pno11	me	i	0
quasi	quasi	fw-la	quasi	quasi	0
signum	signum	fw-la	signum	signum	0
.	.	.	.	.	1
He	He	pns31	He	he	0
bath	bath	av-d	both	both	0
set	set	vvd	set	set	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
selue	selue	n1	self	self	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
marck	marck	n1	mark	mark	0
to	to	pc-acp	to	to	0
shoote	shoote	vvi	shoot	shoot	0
at	at	p-acp	at	at	0
.	.	.	.	.	1
And	And	np1	And	And	0
seeing	seeing	vvg	seeing	see	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
bath	bath	n1	bath	bath	0
bene	bene	vbi	be	be	0
so	so	av	so	so	0
long	long	j	long	long	0
a	a	dt	a	a	0
spectator	spectator	n1	spectator	spectator	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
shottes	shottes	n2	shottes	shotte	0
,	,	,	,	,	0
and	and	cc	and	and	0
furious	furious	j	furious	furious	0
assaultes	assaultes	n2	assaults	assault	0
,	,	,	,	,	0
it	it	pn31	it	it	0
seemech	seemech	n1	seemech	seemech	0
he	he	pns31	he	he	0
taketh	taketh	vvz	takes	take	0
delight	delight	n1	delight	delight	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
enimies	enimies	ng1	enemies	enemy	0
crueltie	crueltie	n1	cruelty	cruelty	0
and	and	cc	and	and	0
furie	furie	n1	fury	fury	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
dexteritie	dexteritie	n1	dexterity	dexterity	0
in	in	p-acp	in	in	0
warding	warding	vvg	warding	ward	0
,	,	,	,	,	0
constancie	constancie	n1	constancy	constancy	0
in	in	p-acp	in	in	0
keeping	keeping	vvg	keeping	keep	0
your	your	po22	your	your	0
standing	standing	n-vvg	standing	stand	0
,	,	,	,	,	0
patience	patience	n1	patience	patience	0
in	in	p-acp	in	in	0
suffering	suffering	vvg	suffering	suffer	0
and	and	cc	and	and	0
enduring	enduring	vvg	enduring	endure	0
.	.	.	.	.	1
5.	5.	crd	5.	5.	1
And	And	cc	And	and	0
truely	truely	av-j	truly	true	0
your	your	po22	your	your	0
afflictions	afflictions	n2	afflictions	affliction	0
seeme	seeme	vvb	seem	seem	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
neither	neither	dx	neither	neither	0
inferiour	inferiour	j-jn	inferior	inferior	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
vnlike	vnlike	j	unlike	unlike	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
pati	pati	n1	patience	patience	0
∣	∣	sy	∣	∣	0
ence	ence	av	ence	ence	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
match	match	vvi	match	match	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
aequalize	aequalize	vvi	aequalize	equalise	0
his	his	po31	his	his	0
;	;	;	;	;	0
only	only	av-j	only	only	0
the	the	av	the	then	0
or	or	cc	or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
afflictions	afflictions	n2	afflictions	affliction	0
seeme	seeme	vvb	seem	seem	0
different	different	j	different	different	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
as	as	c-acp	as	as	0
∣	∣	sy	∣	∣	0
saulted	saulted	vvn	saulted	sault	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
thē	thē	pno32	them	they	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
person	person	n1	person	person	0
;	;	;	;	;	0
you	you	pn22	you	you	0
cōtrarie	cōtrarie	n-jn	contrary	contrary	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
,	,	,	,	,	0
first	first	ord	first	first	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
bodies	bodies	n2	bodies	body	0
and	and	cc	and	and	0
liues	liues	n2	lives	life	0
;	;	;	;	;	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
goods	goods	n2-j	goods	good	0
and	and	cc	and	and	0
liuings	liuings	n2-vvg	livings	live	0
.	.	.	.	.	1
The	The	dt	The	the	0
Sabeians	Sabeians	n2-jn	Sabeians	sabeian	0
haue	haue	vhb	have	have	0
rushed	rushed	vvn	rushed	rush	0
in	in	p-acp	in	in	0
vpon	vpon	p-acp	upon	upon	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
on	on	p-acp	on	on	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
spoyled	spoyled	vvn	spoiled	spoil	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
impouerished	impouerished	vvd	impoverished	impoverish	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
Irruerunt	Irruerunt	fw-la	Irruerunt	irruerunt	0
Sabei	Sabei	fw-la	Sabei	sabei	0
,	,	,	,	,	0
tulerunt	tulerunt	fw-la	tulerunt	tulerunt	0
∣	∣	sy	∣	∣	0
que	que	fw-fr	que	que	0
omnia	omnia	fw-la	omnia	omnia	0
.	.	.	.	.	1
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	0
1.	1.	crd	1.	1.	0
)	)	)	)	)	1
The	The	dt	The	the	0
Sabeians	Sabeians	n2-jn	Sabeians	sabeian	0
came	came	vvd	came	come	0
in	in	p-acp	in	in	0
vi	vi	crd	vi	vi	0
∣	∣	sy	∣	∣	0
olently	olently	av-j	olently	olent	0
,	,	,	,	,	0
and	and	cc	and	and	0
haue	haue	vhb	have	have	0
taken	taken	vvn	taken	take	0
all	all	d	all	all	0
things	things	n2	things	thing	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
fire	fire	n1	fire	fire	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
fell	fell	vvd	fell	fall	0
from	from	p-acp	from	from	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
striking	striking	vvg	striking	strike	0
the	the	dt	the	the	0
sheepe	sheepe	n1	sheep	sheep	0
(	(	(	(	(	0
of	of	pp-f	of	of	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
)	)	)	)	)	0
and	and	cc	and	and	0
the	the	dt	the	the	0
seruants	seruants	n2	servants	servant	0
hath	hath	vhz	hath	have	0
consumed	consumed	vvn	consumed	consume	0
thē	thē	pno32	them	they	0
.	.	.	.	.	1
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	0
1.	1.	crd	1.	1.	0
)	)	)	)	)	0
and	and	cc	and	and	0
a	a	dt	a	a	0
fire	fire	n1	fire	fire	0
not	not	xx	not	not	0
from	from	p-acp	from	from	0
heauen	heauen	n1	heaven	heaven	0
(	(	(	(	(	0
vnlesse	vnlesse	cs	unless	unless	0
by	by	p-acp	by	by	0
diuine	diuine	j-jn	divine	divine	0
permission	permission	n1	permission	permission	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
frō	frō	p-acp	from	from	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
hell	hell	n1	hell	hell	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
vnquenchable	vnquenchable	j	unquenchable	unquenchable	0
thirst	thirst	n1	thirst	thirst	0
of	of	pp-f	of	of	0
hauing	hauing	vhg	having	have	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
consumed	consumed	vvn	consumed	consume	0
all	all	d	all	all	0
your	your	po22	your	your	0
substance	substance	n1	substance	substance	0
.	.	.	.	.	1
The	The	dt	The	the	0
Chaldees	Chaldees	np2	Chaldees	Chaldee	0
made	made	vvd	made	make	0
three	three	crd	three	three	0
troupes	troupes	n2	troops	troop	0
to	to	pc-acp	to	to	0
inuade	inuade	vvi	invade	invade	0
the	the	dt	the	the	0
Camels	Camels	n2	Camels	camel	0
of	of	pp-f	of	of	0
IOB	IOB	np1	IOB	Job	0
,	,	,	,	,	0
&	&	cc	&	and	0
stroke	stroke	vvd	stroke	strike	0
his	his	po31	his	his	0
seruants	seruants	n2	servants	servant	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sword	sword	n1	sword	sword	0
.	.	.	.	.	1
(	(	(	(	(	0
Iob	Iob	np1	Iob	Job	0
1.	1.	crd	1.	1.	0
)	)	)	)	)	1
So	So	av	So	so	0
haue	haue	vhb	have	have	0
they	they	pns32	they	they	0
by	by	p-acp	by	by	0
three	three	crd	three	three	0
troupes	troupes	n2	troops	troop	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
wit	wit	vvi	wit	wit	0
,	,	,	,	,	0
Concupiscentia	Concupiscentia	fw-la	Concupiscentia	concupiscentia	0
carnis	carnis	fw-la	carnis	carnis	0
Concupiscence	Concupiscence	n1	Concupiscence	concupiscence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
flesh	flesh	n1	flesh	flesh	0
.	.	.	.	.	1
(	(	(	(	(	0
1.	1.	crd	1.	1.	1
Ioan.	Ioan.	np1	Ioan.	Joan.	0
2.	2.	crd	2.	2.	0
)	)	)	)	)	1
Concupi	Concupi	np1	Concupi	Concupi	0
∣	∣	sy	∣	∣	0
scentia	scentia	fw-la	scentia	scentia	0
oculorum	oculorum	fw-la	oculorum	oculorum	0
,	,	,	,	,	0
concupiscence	concupiscence	n1	concupiscence	concupiscence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
Superbia	Superbia	fw-la	Superbia	superbia	0
vitae	vitae	fw-la	vitae	vitae	0
,	,	,	,	,	0
pride	pride	n1	pride	pride	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
,	,	,	,	,	0
inuaded	inuaded	vvd	invaded	invade	0
you	you	pn22	you	you	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
their	their	po32	their	their	0
lust	lust	n1	lust	lust	0
and	and	cc	and	and	0
carnalitie	carnalitie	n1	carnality	carnality	0
,	,	,	,	,	0
their	their	po32	their	their	0
auarice	auarice	n1	avarice	avarice	0
,	,	,	,	,	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
riches	riches	n2	riches	riches	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
seene	seene	vvn	seen	see	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
,	,	,	,	,	0
their	their	po32	their	their	0
pride	pride	n1	pride	pride	0
and	and	cc	and	and	0
ambition	ambition	n1	ambition	ambition	0
of	of	pp-f	of	of	0
greatnesse	greatnesse	n1	greatness	greatness	0
,	,	,	,	,	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
hauocke	hauocke	n1	havoc	havoc	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
.	.	.	.	.	1
A	A	dt	A	a	0
vehement	vehement	j	vehement	vehement	0
winde	winde	n1	wind	wind	0
blowing	blowing	vvg	blowing	blow	0
boysteroussly	boysteroussly	av-j	boysteroussly	boysterouss	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Defert	Defert	fw-la	Defert	defert	0
,	,	,	,	,	0
shooke	shooke	vvd	shook	shake	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
Corners	Corners	n2	Corners	corner	0
of	of	pp-f	of	of	0
Iobs	Iobs	n2	Jobs	job	0
house	house	n1	house	house	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
falling	falling	vvg	falling	fall	0
,	,	,	,	,	0
op	op	j	open	open	0
∣	∣	sy	∣	∣	0
pressed	pressed	vvn	pressed	press	0
his	his	po31	his	his	0
Children	Children	n2	Children	child	0
.	.	.	.	.	1
(	(	(	(	(	0
Iob.	Iob.	zz	Iob.	iob.	0
5.	5.	crd	5.	5.	0
)	)	)	)	)	1
The	The	dt	The	the	0
like	like	j	like	like	0
whirle	whirle	vvb	whirl	whirl	0
winde	winde	n1	wind	wind	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
and	and	cc	and	and	0
desert	desert	n1	desert	desert	0
of	of	pp-f	of	of	0
heresie	heresie	n1	heresy	heresy	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
shaken	shaken	vvn	shaken	shake	0
your	your	po22	your	your	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
fall	fall	n1	fallen	fall	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
ruinated	ruinated	vvn	ruinated	ruinate	0
your	your	po22	your	your	0
families	families	n2	families	family	0
,	,	,	,	,	0
oppressed	oppressed	vvn	oppressed	oppress	0
your	your	po22	your	your	0
persons	persons	n2	persons	person	0
,	,	,	,	,	0
your	your	po22	your	your	0
wiues	wiues	n2	wives	wife	0
