Men	Men	np1	Men	Men	0
Salvation	Salvation	n1	Salvation	salvation	0
and	and	cc	and	and	0
Concord	Concord	n1	Concord	concord	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
wait	wait	vvi	wait	wait	0
on	on	p-acp	on	on	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
prayer	prayer	n1	prayer	prayer	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
success	success	n1	success	success	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
shewed	shewed	vvn	showed	show	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
only	only	j	only	only	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
.	.	.	.	.	1
Read	Read	n1	Read	read	0
it	it	pn31	it	it	0
impar	impar	vvi	impar	impar	0
∣	∣	sy	∣	∣	0
tially	tially	av-j	tially	tial	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
the	the	dt	the	the	0
Judges	Judges	n2	Judges	judge	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
blame	blame	n1	blame	blame	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
greatest	greatest	js	greatest	great	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
dangerous	dangerous	j	dangerous	dangerous	0
divisions	divisions	n2	divisions	division	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
laid	laid	vvn	laid	lay	0
;	;	;	;	;	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
shame	shame	n1	shame	shame	0
,	,	,	,	,	0
either	either	av-d	either	either	0
give	give	vvb	give	give	0
over	over	p-acp	over	over	0
complaining	complaining	vvg	complaining	complain	0
that	that	d	that	that	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
minds	minds	n2	minds	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
profess	profess	vvb	profess	profess	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
the	the	dt	the	the	0
enemies	enemies	n2	enemies	enemy	0
of	of	pp-f	of	of	0
Unity	Unity	n1	Unity	unity	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
;	;	;	;	;	0
or	or	cc	or	or	0
else	else	av	else	else	0
give	give	vvb	give	give	0
over	over	a-acp	over	over	0
your	your	po22	your	your	0
damning	damning	vvg	damning	damn	0
,	,	,	,	,	0
and	and	cc	and	and	0
dividing	dividing	vvg	dividing	divide	0
course	course	n1	course	course	0
,	,	,	,	,	0
and	and	cc	and	and	0
yield	yield	vvi	yield	yield	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Spirit	Spirit	n1	Spirit	spirit	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
would	would	vmd	would	will	0
Unite	Unite	vvi	Unite	unite	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
walk	walk	vvi	walk	walk	0
in	in	p-acp	in	in	0
Communion	Communion	n1	Communion	communion	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Saints	Saints	n2	Saints	saint	0
:	:	:	:	:	0
and	and	cc	and	and	0
let	let	vvb	let	let	0
not	not	xx	not	not	0
these	these	d	these	these	0
warn	warn	vvi	warn	warn	0
∣	∣	sy	∣	∣	0
ings	ings	n1	ings	ings	0
be	be	vbi	be	be	0
hereafter	hereafter	av	hereafter	hereafter	0
a	a	dt	a	a	0
witness	witness	n1	witness	witness	0
against	against	p-acp	against	against	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
confusion	confusion	n1	confusion	confusion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
salvation	salvation	n1	salvation	salvation	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
healing	healing	n-vvg	healing	heal	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
discords	discords	n2	discords	discord	0
by	by	p-acp	by	by	0
Decem.	Decem.	np1	Decem.	Decem.	1
10.	10.	crd	10.	10.	0
1659.	1659.	crd	1659.	1659.	1
